rowid,x,y,ksat,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,DEPTH
1,555500,541500,267.6580467,3.511422327,2.864241952,-0.652309965,0.746873949,1.013554175,-1.876018883,0.85032272,0.294973986,0.719303495,0.425815169,0.655399069,0.233043743,35
2,556500,541500,229.4663188,3.543311302,3.299008965,-0.499994734,1.690414809,0.866783349,-1.810145128,0.368332194,0.080990169,1.674615651,0.454529624,0.965093373,0.511388783,35
3,557500,541500,220.1294556,3.296145304,2.956758914,-0.474227402,1.032359262,0.696726029,-2.166691897,0.66937912,0.708944487,0.917147481,0.467547086,0.439656757,0.515325376,35
4,558500,541500,428.6321568,3.25690966,2.727788926,0.087004949,0.25286078,0.625212685,-2.057179949,0.485708667,0.405640004,0.481749351,0.480667753,0.305989754,0.566206344,35
5,559500,541500,218.723053,3.101839671,2.628917479,-1.464935929,-2.065464428,0.633132432,-2.300394856,0.1349966,0.429228275,0.517223379,0.705688318,-0.663731464,-0.651361504,35
6,560500,541500,218.723053,2.635151922,2.49625167,0.627409104,-1.9432644,-0.125734813,-1.734567579,0.561378501,0.812730945,1.058721709,0.397795968,-0.599247457,0.75856276,35
7,561500,541500,64.22958374,2.453858649,2.377340121,1.694197868,-0.816832772,-0.392347858,-1.458369048,0.886163462,1.209356491,1.225727902,0.262640287,-0.720098387,0.489406673,35
8,562500,541500,170.2649536,3.190687768,3.201911435,-0.055516694,-0.311055513,-0.350764211,-2.167128831,1.091501041,1.563324663,1.577202068,0.298138708,-0.05524714,0.113895088,35
9,563500,541500,64.22958374,3.075315708,3.559922527,-1.775321832,-2.336049726,-0.38467238,-1.71551941,-0.65896145,0.208660372,3.991545765,0.458124695,-0.609451966,-0.706571104,35
10,564500,541500,364.6983967,3.085545058,2.611900069,-1.508880576,-1.500514532,0.548034548,-2.55514006,0.425187835,0.863857354,0.98143885,0.423385296,-0.683124126,-0.371229763,35
11,565500,541500,1127,3.334409372,1.91999158,-0.211474274,-0.645040755,2.068730538,-1.292462183,-0.398666044,-1.062369935,0.205432738,0.498034354,0.301126124,-0.560581018,35
12,566500,541500,1077.20053,3.307328525,2.429063791,0.578048773,-0.127813721,1.547885265,-0.643836349,0.04047651,-0.481705776,0.610385768,0.463846167,0.585322453,0.295270099,35
13,567500,541500,170.2649536,3.195775306,2.694760991,3.487301662,0.849875551,-1.02661976,-1.629955724,1.413104532,1.62241369,1.821025461,0.083459772,-1.059006404,-0.404319936,35
14,568500,541500,95.35639107,3.16765056,2.806076904,0.363138576,-0.656419244,-0.16682773,0.165048976,-1.08624245,-0.63153621,2.519269391,-0.330686816,-0.591789875,-0.162520883,35
15,569500,541500,75.58710263,3.480093658,2.815258275,0.009441734,0.486690973,0.080802536,-1.024669071,-0.451982287,0.129668789,0.853551902,-0.370573511,-0.03593426,0.490555609,35
16,570500,541500,207.9468549,3.629178445,1.905589773,-0.376991473,-0.213907605,1.408063184,-1.831728387,0.179974546,0.099298326,0.227992147,0.441694107,0.137347143,0.038268516,35
17,571500,541500,116.342824,3.621663015,1.856370687,1.002876361,1.896829989,0.734788849,-1.019250413,1.084522822,1.444829269,1.033264691,0.191595085,0.266499464,0.683627905,35
18,572500,541500,140.1070557,3.757871189,2.483818102,0.056747717,0.467958924,-0.575067253,-1.631607696,0.503529218,1.147905987,0.978925105,-0.770485795,-0.495538793,0.519483288,35
19,573500,541500,1306.76114,2.606441403,0.866080161,0.015559268,-0.893858816,0.527851917,-1.139248441,0.564125303,1.666953516,1.132450047,0.272715478,-0.899581858,0.416917241,35
20,574500,541500,1554.25,3.118008037,0.832762556,0.391379409,-0.139441604,2.029955226,-1.035534678,0.174948666,-0.104397089,-0.266109205,0.406343788,0.021884237,0.357422674,35
21,575500,541500,140.1070557,3.796722863,2.333311767,2.14272561,0.641160633,-0.075227653,-0.95070238,0.577682551,0.71536967,1.966491939,0.254745239,-0.306966051,-0.069301288,35
22,576500,541500,123.6882629,3.898663928,2.61272423,2.102820684,-0.175386648,-0.104117816,-0.754950588,-0.129831487,0.30901567,1.257064995,0.539147863,-0.306532636,-0.222087844,35
23,577500,541500,140.1070557,3.562677504,1.338358382,-0.476823484,-0.553036583,-0.1344481,-1.457123579,1.261297992,2.352149738,1.93380717,0.136339848,-0.269938501,0.076098467,35
24,578500,541500,126.1133498,3.512001989,2.14091433,1.806517619,-0.215271838,0.056854838,-1.154780524,-0.083830984,0.976853655,0.18880001,0.707685518,-0.498821212,0.353429377,35
25,579500,541500,111.1452408,3.828669189,2.542263008,1.558412763,-0.562664571,-1.108616367,-0.731185127,-0.071962313,0.991448807,0.011632968,-0.379114099,-0.610868032,0.171725598,35
26,580500,541500,112.1894838,3.926141982,2.739673934,3.584558256,0.365683453,-1.48190805,-0.923202924,-0.263067137,0.631566635,0.047323566,-0.368113902,-1.50577987,-0.203320732,35
27,581500,541500,214.9395931,4.186340603,2.638609251,2.231283115,1.156093652,-1.348172551,-1.02163213,0.241104884,1.215649317,0.556772079,-0.557411123,-1.00535475,-0.197358617,35
28,582500,541500,112.940456,3.839235439,2.238525661,1.538960742,0.544438598,-1.467454188,0.157729573,-0.974961464,0.130226081,4.133585524,-0.752075609,-1.214676084,-0.145624838,35
29,583500,541500,170.5067876,4.304662685,2.823234251,1.383651149,-0.322369348,-1.122117378,-0.640339302,-0.588636009,0.768184399,-0.455060216,-0.18936335,-0.493983852,-0.232802647,35
30,584500,541500,1016.400024,3.383297274,-0.120246478,-0.40629503,-1.444675613,1.827967544,0.313766394,0.335601972,0.840883515,-0.293870188,0.448171032,0.100791051,-0.248631571,35
31,585500,541500,110.0718918,3.405689113,1.138546757,0.834637201,-0.746657697,0.462021967,0.674461692,-0.80864579,0.216814313,2.868020321,0.537881675,0.049933942,0.321649773,35
32,586500,541500,166.8000031,3.284525669,0.089946413,2.532853773,-0.591169074,1.187953276,0.356174918,-0.411145399,-0.089920797,0.292125749,0.406181437,0.088993869,0.189527878,35
33,587500,541500,81.5135498,3.54072692,0.361032639,4.26856124,0.344870017,-0.607955574,0.163473243,-0.119544369,1.807096599,0.105848485,0.664435093,-1.455895113,-0.133953066,35
