rowid,x,y,ksat,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,DEPTH
1,555500,541500,267.6580467,4.405254723,-3.861188883,-0.397550928,1.67436365,0.45287659,-0.562637301,-0.408374391,1.144623499,-0.222960896,0.107890506,0.621206815,-0.216485233,0.03839996,-0.526479102,-1.672923247,-0.777487774,-1.296009974,-0.524882056,-0.284053118,-3.360609948,-1.25802496,0.792648479,-0.16061253,0.170756413,0.271398439,-0.314183779,0.01050164,-0.095203857,-0.029426574,0.104420627,0.00144385,0.486842358,35
2,556500,541500,229.4663188,3.99102488,-1.964000546,0.384603269,-1.62233583,1.354880709,1.462735294,-1.459045245,0.075961268,-0.182119838,0.419184997,0.235348652,0.104546759,-0.248074383,0.430680933,-1.171822527,-4.254969242,-1.126209479,-0.457670922,-1.943014118,0.855867397,-0.921768547,-0.180240408,-0.356492301,0.005098275,0.403992636,-0.059270453,-0.062896874,0.009748213,0.051365936,-0.904005087,1.371634823,-0.296601441,35
3,557500,541500,220.1294556,4.10840822,-3.696976537,-0.067223543,1.775541956,0.152933578,-0.409359382,-0.455021812,0.906282861,-0.098738763,0.054116893,0.571578249,-0.185059543,-0.025120732,-0.175246498,-1.592673121,-1.757749968,-0.339229034,-0.379185014,-2.670244942,0.54564125,-0.420584103,-0.061292005,-0.151001601,0.050531979,0.108390574,0.017569547,-0.09728551,0.101511921,0.044799676,0.017767667,0.048814433,-1.679644449,35
4,558500,541500,428.6321568,3.586501493,-2.405933634,2.450420514,0.839346596,-1.556031715,-0.01884166,-0.250916145,0.003718973,0.160648411,0.150416641,-0.264856564,0.048305214,0.002281669,0.307911632,-1.71E-04,-1.090542484,-1.660088179,0.509899641,0.533745543,-3.12056925,-1.756287801,0.56236148,-0.286299969,7.11E-04,0.63428626,-0.36792126,0.043568354,-0.248850093,-0.039174788,-0.638402594,1.333902648,1.769493403,35
5,559500,541500,218.723053,3.920058579,-3.401353455,-0.249376869,1.800834485,0.04141963,-0.546753495,-0.008849965,1.047162613,-1.206582626,1.061640986,0.107877462,-0.065983528,0.015701889,-2.416203659,0.017707988,-1.255257992,-0.412054111,0.027195324,-2.782897929,0.54944079,-0.392279592,-0.059579362,-0.145694714,0.048184907,0.176972493,-0.029617566,-0.091069184,0.085083872,0.04171061,0.098637625,0.360329239,-1.793698186,35
6,560500,541500,218.723053,3.472283857,-3.302521877,-0.439829612,2.218859633,1.65E-04,-0.523468541,-1.058112233,0.610605565,-0.556911338,0.701601018,-0.062059846,-0.178641944,0.014310591,-1.212109953,1.039574632,-0.751572243,-0.264885833,-0.837908111,-3.009953509,0.540188844,-0.327370841,-0.077615916,-0.180779636,4.94E-04,0.013607242,0.046349231,-0.10115729,0.10855613,0.040003205,0.232947101,0.06138021,-1.511181501,35
7,561500,541500,64.22958374,3.311698739,-3.262293189,-0.458622641,2.238530594,0.203156494,-0.627371336,-1.354448202,0.435675702,0.02468638,0.141942772,0.07165275,-0.255693314,0.047316657,-0.102352475,0.672556545,-0.392977777,-0.162022401,-1.81256672,0.282094534,-0.519457687,3.486864222,1.019020034,-3.445359627,-1.242343957,0.253959057,-0.022327343,-0.155884164,0.141006032,-0.004966549,1.891690703,0.562481903,-0.931266648,35
8,562500,541500,170.2649536,4.087721402,-4.14800347,-0.462806631,2.106128089,0.555950402,-1.153709769,-0.757488799,0.883510526,-0.191226852,0.329962604,0.421022384,-0.211264933,0.059726412,-0.722232966,-0.614736445,-0.240785978,-1.464466675,-1.380592925,-0.834104554,0.100663081,3.85956297,-0.577084158,4.120847995,-0.758181145,1.693958621,-0.932540998,0.026888199,-0.564627179,-0.109457108,-0.615285171,0.540675044,0.912296737,35
9,563500,541500,64.22958374,3.367522652,-4.115538289,0.087770258,1.031723261,-0.226867172,-0.95635579,0.748004472,-0.465783748,-4.37223998,1.809270732,0.127038703,2.955997204,-27.7467105,-0.510587547,0.621154759,1.012227763,-1.061049851,-0.057067592,0.470050251,-2.560999417,-2.012021133,0.456462261,-0.439474236,-0.159973031,0.569190971,-0.420431652,-0.156367103,-0.429019388,-0.086967568,-0.579172615,1.890153724,2.114846959,35
10,564500,541500,364.6983967,3.332828013,-2.074802944,2.898526528,0.816718079,-2.000114029,1.46E-04,0.566453303,0.113474916,-0.772978978,0.918035203,-0.403683628,0.16686724,-0.048135352,-1.42136468,0.592893972,-2.082399668,-0.619634801,0.733058138,-1.950850889,0.763303391,-0.924688292,-0.28220674,-0.25740318,-0.115766453,0.470348004,-0.098504507,-0.051634036,-0.05358911,0.032703234,-0.739952438,1.463890246,-0.289114554,35
11,565500,541500,1127,3.021806809,-0.117881283,-2.359364683,0.879360221,-1.260994657,0.801025566,0.962188153,0.001248515,-0.350045592,0.353447155,-0.178586554,0.114683869,-0.00519445,-0.293939028,-0.129415015,-2.051420374,-0.297567146,2.08928678,1.207031935,-0.00339452,-0.409330568,-0.273730879,0.177083441,-0.207649563,0.450171011,-0.110862596,-0.001108632,-0.173551496,-0.036381216,-0.453516464,0.948224835,-0.287500905,35
12,566500,541500,1077.20053,2.999809253,-0.570217727,-2.337945916,0.978519363,-1.253037385,0.866288773,0.610426912,-0.234849822,0.064322338,0.07040302,-0.126988035,0.019721738,-0.019269171,0.466900121,0.110520483,-1.989283446,0.047176061,1.365616054,1.308238304,-0.035548208,-0.423031635,-0.309626127,0.212796514,-0.214230673,0.354502992,-0.079480766,-0.009697033,-0.165530408,-0.032712133,-0.615610975,0.599938043,-0.121720587,35
13,567500,541500,170.2649536,4.087972878,-3.667412718,-0.860762692,2.642323917,0.527943731,-1.056264807,-2.525479159,0.195598801,1.127981061,-0.516451028,0.213702466,-0.367113763,0.06324576,1.817538653,0.275458041,0.367449321,-1.392397494,-2.045917351,-1.043715925,0.088901227,3.93685829,-0.61197655,4.062207314,-0.875235319,1.56059455,-0.842809098,0.032172948,-0.53673872,-0.113945283,-0.354608195,0.255463123,1.080453268,35
14,568500,541500,95.35639107,3.333680397,-3.41653895,-0.147762074,0.950422803,-0.096808035,-0.100759277,-0.383441433,-0.87227775,-3.332950536,0.945001654,0.110484729,2.805416264,-27.71284843,1.629577219,0.669963524,1.508351399,-0.021398852,0.218546937,0.526662919,-2.684943678,-1.883114588,0.453155557,-0.321420143,-0.220799201,0.556037761,-0.361275043,-0.157848718,-0.439593275,-0.092427588,-0.238910981,1.292961263,2.052301311,35
15,569500,541500,75.58710263,3.550842163,-1.528083124,-1.632638867,1.912103861,-0.512089994,0.510906218,0.514455626,0.004320844,0.172188918,-0.084761079,0.120953238,0.050974756,-0.042217762,0.405547591,-0.511530714,-1.371143633,-0.736654652,-0.030917642,0.106985421,0.518769292,3.142098592,-0.801551931,3.925847694,-0.955600465,2.250248576,-1.039408248,0.130596032,-0.787385688,-0.119955296,-1.475261767,2.257690358,2.4851742,35
16,570500,541500,207.9468549,4.005405492,-2.457785261,-1.066741437,0.869868468,0.207931524,-0.546065017,-0.275084303,0.911884583,-0.318041483,0.3875125,0.26079987,-0.180096486,0.10557606,-0.750266178,-0.937644453,-0.393200983,-0.697071911,1.268830796,0.132491953,-0.391478422,0.266545346,-0.04851307,0.333655013,-0.067646814,-0.051447587,-0.008489149,-0.080929151,0.029791057,-0.022831969,0.564375168,-0.649236718,-1.836119381,35
17,571500,541500,116.342824,3.912478842,-1.69261623,2.741117291,0.832687391,-1.294052812,0.203376765,-0.694277389,-0.141830337,0.934036588,-0.547469371,0.116696884,-0.09509981,0.019298741,1.721197132,-0.764772544,-0.730652282,-0.545235574,-0.193052202,-0.026231657,0.177163321,3.424769942,-0.781649239,4.133814091,-0.989134891,1.996398145,-0.995380571,0.078844521,-0.716281143,-0.126023377,-1.105017794,1.086377438,2.441644371,35
18,572500,541500,140.1070557,4.513318813,-3.588942948,-0.398599691,2.037731348,0.7614013,-0.920814593,-0.844967728,0.841440579,0.065762731,0.067138466,0.444356834,-0.246402343,0.032850935,-0.243969581,-0.842564891,0.134881418,-1.322372636,-0.933127852,-0.613627395,-3.410237781,-1.201192053,0.782788016,-0.23757422,0.124987406,0.121235459,-0.271994539,0.016705835,-0.065610443,-0.024040119,0.2369854,-0.072587871,0.748392459,35
