"layers","units","max_epochs","early_stopping_patience","batch_size","dropout","ensemble_runs","val_RMSE_ksat","val_RMSE_mean","val_MAE_ksat","val_MAE_mean"
2,183,100,5,114,0.15,1,364.514,364.514,252.603,252.603
5,123,100,5,106,0.05,1,344.32,344.32,209.678,209.678
2,138,100,5,61,0.2,1,387.009,387.009,301.578,301.578
2,167,100,5,114,0,1,402.266,402.266,317.508,317.508
5,24,100,5,119,0.075,1,337.452,337.452,235.181,235.181
4,111,100,5,146,0.025,1,365.447,365.447,281.925,281.925
4,56,100,5,80,0.2,1,342.974,342.974,244.341,244.341
4,44,100,5,150,0.1,1,353.616,353.616,251.383,251.383
4,97,100,5,25,0.075,1,365.685,365.685,267.777,267.777
5,170,100,5,18,0.175,1,338.51,338.51,203.946,203.946
5,115,100,5,63,0.15,1,439.72,439.72,363.947,363.947
5,150,100,5,125,0.075,1,325.514,325.514,201.467,201.467
4,110,100,5,137,0.1,1,391.445,391.445,304.491,304.491
2,165,100,5,21,0.025,1,361.572,361.572,235.298,235.298
4,33,100,5,88,0.15,1,350.881,350.881,236.304,236.304
1,104,100,5,40,0.05,1,350.399,350.399,220.794,220.794
1,66,100,5,97,0.15,1,369.969,369.969,268.405,268.405
2,164,100,5,124,0.025,1,338.251,338.251,209.335,209.335
3,56,100,5,109,0.075,1,339.709,339.709,238.62,238.62
3,170,100,5,57,0.125,1,370.112,370.112,278.884,278.884
2,191,100,5,150,0.0580553691370829,1,389.251,389.251,285.847,285.847
2,183,100,5,114,0.15,1,363.329,363.329,209.353,209.353
5,123,100,5,106,0.05,1,336.218,336.218,227.672,227.672
2,138,100,5,61,0.2,1,342.46,342.46,198.604,198.604
2,167,100,5,114,0,1,329.502,329.502,212.028,212.028
5,24,100,5,119,0.075,1,339.008,339.008,238.757,238.757
4,111,100,5,146,0.025,1,358.747,358.747,272.912,272.912
4,56,100,5,80,0.2,1,354.217,354.217,257.449,257.449
4,44,100,5,150,0.1,1,364.263,364.263,269.733,269.733
4,97,100,5,25,0.075,1,349.696,349.696,242.55,242.55
5,170,100,5,18,0.175,1,512.17,512.17,457.705,457.705
5,115,100,5,63,0.15,1,346.848,346.848,276.973,276.973
5,150,100,5,125,0.075,1,299.123,299.123,190.844,190.844
4,110,100,5,137,0.1,1,363.121,363.121,261.771,261.771
2,165,100,5,21,0.025,1,365.196,365.196,261.959,261.959
4,33,100,5,88,0.15,1,344.428,344.428,233.212,233.212
1,104,100,5,40,0.05,1,379.164,379.164,247.981,247.981
1,66,100,5,97,0.15,1,386.078,386.078,292.183,292.183
2,164,100,5,124,0.025,1,346.231,346.231,231.52,231.52
3,56,100,5,109,0.075,1,354.672,354.672,248.106,248.106
3,170,100,5,57,0.125,1,401.416,401.416,342.81,342.81
5,200,100,5,146,0.0789000867714261,1,375.339,375.339,262.021,262.021
5,141,100,5,150,0.0901359679165115,1,339.061,339.061,226.148,226.148
1,173,100,5,132,0.182141910692285,1,354.006,354.006,225.219,225.219
1,159,100,5,76,2.22044604925031e-16,1,362.008,362.008,251.227,251.227
4,147,100,5,5,0.0109379419852169,1,326.063,326.063,220.882,220.882
2,21,100,5,34,0.177349438560284,1,371.178,371.178,266.885,266.885
3,150,100,5,142,0.0901359736874807,1,361.368,361.368,238.56,238.56
3,125,100,5,79,0.0415458758609819,1,363.617,363.617,286.344,286.344
5,149,100,5,5,0.2,1,378.304,378.304,297.494,297.494
5,144,100,5,75,2.22044604925031e-16,1,351.103,351.103,224.229,224.229
2,145,100,5,5,2.22044604925031e-16,1,360.897,360.897,242.72,242.72
5,157,100,5,150,2.22044604925031e-16,1,380.506,380.506,298.769,298.769
5,146,100,5,5,0.055933390241428,1,340.368,340.368,215.841,215.841
5,142,100,5,112,0.2,1,402.255,402.255,326.063,326.063
5,154,100,5,55,0.0826284903993247,1,417.397,417.397,318.415,318.415
5,158,100,5,117,0.0623486192362385,1,330.489,330.489,233.044,233.044
3,112,100,5,124,0.115531268321513,1,341.509,341.509,241.619,241.619
5,91,100,5,126,0.0342408697598838,1,435.825,435.825,299.776,299.776
5,141,100,5,116,0.0395596476878451,1,336.59,336.59,226.081,226.081
5,136,100,5,13,2.22044604925031e-16,1,334.191,334.191,180.211,180.211
1,180,100,5,118,2.22044604925031e-16,1,371.848,371.848,251.335,251.335
2,120,100,5,87,0.166340371208424,1,323.512,323.512,213.055,213.055
3,107,100,5,87,0.181089024999095,1,322.886,322.886,240.207,240.207
2,111,100,5,116,0.2,1,356.193,356.193,248.933,248.933
2,116,100,5,53,0.2,1,411.667,411.667,315.257,315.257
3,155,100,5,125,0.129489545775226,1,327.284,327.284,238.61,238.61
5,173,100,5,129,0.0678618486869864,1,399.349,399.349,331.243,331.243
4,115,100,5,95,0.135582073844104,1,354.076,354.076,266.741,266.741
5,139,100,5,131,0.0983946696864485,1,321.519,321.519,197.855,197.855
4,148,100,5,113,0.0869877621318091,1,332.599,332.599,219.871,219.871
1,107,100,5,89,0.133228144672239,1,367.788,367.788,244.884,244.884
2,161,100,5,105,0.0777355247992044,1,378.666,378.666,279.924,279.924
4,120,100,5,81,0.2,1,340.846,340.846,247.179,247.179
1,136,100,5,80,0.156454648043525,1,376.058,376.058,253.565,253.565
5,151,100,5,20,2.22044604925031e-16,1,342.334,342.334,194.442,194.442
5,153,100,5,130,0.120828886698588,1,336.816,336.816,242.857,242.857
3,145,100,5,125,0.0687639922504158,1,349.988,349.988,206.614,206.614
1,152,100,5,129,0.165883584533348,1,353.701,353.701,241.221,241.221
4,159,100,5,101,2.22044604925031e-16,1,344.419,344.419,209.258,209.258
