"","ksat","ndvi_mean_years","ndvi_years_range","ndvi_mean_summer","ndvi_summer_range","mean_slope","sd_slope","median_slope","q5_slope","q95_slope","mean_aspect","sd_aspect","median_aspect","q5_aspect","q95_aspect","mean_twi","sd_twi","median_twi","q5_twi","q95_twi","dem1k","tm_1","tm_2","tm_3","tm_4","tm_5","tm_6","tm_7","tm_8","tm_9","tm_10","tm_11","tm_12","rr_mean","rr_range","soil_unit.1","soil_unit.2","soil_unit.3","soil_unit.4","soil_unit.5","soil_unit.6","soil_unit.7","soil_unit.10","landcover.11","landcover.12","landcover.31","landcover.60","landcover.91","landcover.93","landcover.122","landcover.125","landcover.126","lithology.6","lithology.18","DEPTH"
"1",2796.174672,0.594573021,0.236490369,0.689525783,0.210692286,0.086844385,0.051990088,0.07768932,0.020683447,0.180383012,4.031650066,2.235215664,5.046681404,0.1032634,6.184194565,6.223501205,0.869513094,6.215166092,4.763822556,7.535748959,500.9134216,-2.391634941,-0.852173984,3.098715305,7.869858742,12.51544571,15.87223148,17.61320496,17.36298561,13.2656498,8.229606628,2.947598934,-1.050519466,690.6118774,605.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10
"3",463.5325832,0.62846154,0.188509583,0.738546789,0.154676974,0.088266283,0.056094877,0.075855061,0.020789903,0.20282954,2.872744322,1.464440227,2.686695814,0.844091237,5.677531719,6.443509102,0.636296153,6.505226612,5.32879734,7.390139103,591.2531738,-2.722115993,-1.277132273,2.584691048,7.280254364,11.92392063,15.26355934,16.99436951,16.75874901,12.74011326,7.840432167,2.545056581,-1.403690577,717.3440552,624.5999756,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,10
"4",288.5,0.564483106,0.168736547,0.671943545,0.200230777,0.097942404,0.068727516,0.085597828,0.01469599,0.240758568,2.948703527,1.536293745,3.254724503,0.71965903,5.586183071,6.932311058,0.705851495,6.971730232,5.65255928,8.03027153,577.5394897,-2.685921192,-1.225186825,2.650792837,7.35898304,12.00423717,15.3446331,17.07460403,16.8387928,12.80700588,7.886194706,2.597570658,-1.361290336,714.2830811,622.7999878,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10
"6",293.7854629,0.511904418,0.153030783,0.616934121,0.168471992,0.043283012,0.024782391,0.03992309,0.011029216,0.090379328,3.20394659,1.40096581,3.294172764,0.954814494,5.277480125,7.566215038,0.465566188,7.600387573,6.7733078,8.238731384,641.2424927,-2.806123495,-1.387423873,2.437698126,7.112288475,11.74554443,15.08850288,16.82424927,16.59004974,12.59570599,7.738846302,2.422994375,-1.505740881,703.6152344,606.0999756,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10
"7",368.9899902,0.562579572,0.179028809,0.662798047,0.163061559,0.092544712,0.057903036,0.082690448,0.025269024,0.20096606,3.646386862,1.6209445,3.877275705,0.542791247,5.92607975,6.233891487,0.733100832,6.194509506,5.116182804,7.560817242,591.7383423,-2.707408428,-1.256021976,2.615062952,7.31579113,11.96219254,15.3000288,17.02845764,16.79628181,12.77098942,7.860005379,2.572485924,-1.384909749,727.430542,637.6000977,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10
"8",658.1784258,0.556178629,0.217818707,0.656021893,0.224569201,0.123010382,0.057508741,0.117025547,0.041813783,0.22291337,3.331044674,1.972102284,2.932838678,0.335851789,5.931755066,5.684729099,0.843221605,5.591897011,4.388255119,7.126255989,555.1708984,-2.620065689,-1.133703113,2.768562078,7.498531342,12.14630985,15.48926544,17.2206955,16.9835434,12.93014145,7.97009325,2.688163996,-1.285675287,719.1779785,630.7000122,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10
"9",314.4665797,0.609592617,0.169865131,0.709088624,0.205569208,0.106633872,0.07498838,0.093208008,0.009973268,0.256922871,3.327530384,1.763328314,3.776876926,0.318205237,5.963969231,6.204471111,0.606974602,6.223210335,5.228108406,7.199197769,570.9534302,-2.676981926,-1.213292122,2.668972254,7.379548073,12.02744675,15.36649704,17.09633636,16.86205673,12.8259325,7.898359776,2.612175226,-1.34945333,709.3508911,621.5999756,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10
"10",288.5,0.592512727,0.169605792,0.712592244,0.173215389,0.0558559,0.028395079,0.052117292,0.017998321,0.101579487,2.927573919,1.543694139,2.721195221,0.690241992,5.614980221,7.002638817,0.452596873,6.962265491,6.286336899,7.862954617,632.8051758,-2.769409657,-1.337368488,2.50019145,7.18336153,11.81744099,15.16307926,16.89797783,16.65956879,12.65381336,7.780535698,2.470197678,-1.463477373,697.642395,602.5999756,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,10
"11",1127,0.492582381,0.186274976,0.596565545,0.188884616,0.065737762,0.054826263,0.056114204,0.01053071,0.175438151,2.379989862,1.359192252,2.494774818,0.44044438,4.5270257,7.159797668,0.939746082,7.052380562,5.945548534,8.997672081,534.4225464,-2.573756218,-0.978951335,2.988299608,7.834519863,12.45803738,15.81307888,17.59538078,17.36208344,13.2386446,8.156452179,2.76774025,-1.260388255,608.7067871,447.8000183,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10
"12",664.2999878,0.476482898,0.141014278,0.569506347,0.212615371,0.05713753,0.037463386,0.04769266,0.017011285,0.1270549,2.617310047,1.200938463,2.968765736,0.520924926,4.046003342,7.398734093,0.395329803,7.456770897,6.670380592,7.937702656,513.3668213,-2.531055212,-0.921590328,3.059950829,7.919717789,12.54218197,15.90291023,17.68671417,17.4502182,13.31279659,8.208393097,2.824548006,-1.214215398,608.2966309,441.3000183,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10
