"nrounds","eta","max_depth","min_child_weight","subsample","colsample_bytree","gamma","cv_or_validation_RMSE","cv_or_validation_MAE"
347,0.001,6,6,0.667,0.667,0,337.282,227.614
977,0.034,15,10,0.944,0.5,2,243.181,171.731
990,0.167,12,6,0.722,0.611,0,242.183,168.471
1144,0.001,9,3,0.5,0.611,0,267.009,170.638
1707,0.234,18,8,0.556,0.944,3,256.26,182.096
1977,0.267,8,15,0.667,0.889,0,269.793,195.754
2031,0.2,14,6,0.889,0.722,1,246.008,174.453
2050,0.2,3,5,0.778,0.944,4,244.402,168.798
2201,0.001,10,14,1,0.889,2,247.867,167.639
2778,0.067,6,1,0.556,0.667,5,228.609,158.669
2576,0.246256000274866,5,15,0.677559879258333,0.801470360266161,3,266.032,193.493
3000,0.0817613345571095,19,10,0.91515648993828,0.522216071657592,4,244.195,173.524
771,0.0229259370895366,10,1,0.941121233398549,0.876581561337385,4,253.473,172.036
2458,0.0043874953871361,12,1,0.952401838036407,0.891736661136135,1,241.611,167.912
300,0.3,3,1,1,0.77889893818881,4,252.316,172.259
3000,0.179996608405278,14,13,0.518077370393436,0.5,5,257.446,191.053
2133,0.00100000000000022,13,1,0.5,0.554600982912261,5,243.853,162.705
3000,0.176548735537268,18,1,0.957482214090594,0.696546421287654,4,255.629,174.828
3000,0.10508822898888,12,3,0.752174757151247,0.63827945409196,1,249.433,172.499
1750,0.0612505040824043,14,11,0.919805627929355,0.594893501112125,5,256.237,180.796
1277,0.3,4,13,1,0.731403042422432,5,246.578,178.564
737,0.3,7,6,0.998189604908383,0.755553519195755,5,265.22,185.415
2806,0.00100000000000022,14,8,0.98174003317217,0.527329063494678,0,249.066,170.962
3000,0.00100000000000022,20,1,0.961800580094174,0.5,0,241.759,164.097
300,0.3,7,11,0.988421543635772,0.789895638220849,1,265.904,190.709
2709,0.104035596190777,7,13,0.803806870410199,0.971980531246481,4,250.168,179.123
2969,0.112584430211816,10,8,0.812153217048641,0.699103102204109,1,251.968,177.013
2375,0.142488928552054,4,1,0.76899221546705,0.701261895819658,5,240.18,169.935
1053,0.152395820557676,8,15,0.955875807985923,0.872027652305974,5,245.395,171.842
1357,0.3,16,1,0.845227842594141,0.698015069361563,0,250.892,172.609
2867,0.00100000000000022,12,1,0.694894398058708,0.82864214258477,5,230.015,158.318
2652,0.00527299325821717,5,1,0.67362456357401,0.936334891225608,5,238.224,163.018
2177,0.090697297614406,8,1,0.894575661395884,0.702408969443738,0,240.079,162.862
2244,0.3,4,1,0.711912329307864,0.891365862239513,0,251.781,176.172
1077,0.3,16,1,0.544249440107508,0.899248988271193,5,244.276,176.355
1049,0.3,14,15,0.534964106890702,0.641989818020374,0,277.417,209.643
970,0.127231841405953,13,1,0.942174773804363,0.618922942853355,5,243.91,165.466
1381,0.145048602194016,15,15,0.74618298911893,0.793167591955813,5,257.008,186.614
2596,0.141963351849911,18,1,0.985515363281131,0.936639098462986,0,248.935,166.729
816,0.0940259290647282,13,15,0.668889010861501,0.60957905074032,0,265.104,193.607
3000,0.119639771175947,20,1,0.5,0.909154620666748,1,239.913,169.175
300,0.227092655296967,20,5,0.5,0.731651326305338,3,269.801,194.06
3000,0.00100000000000022,4,14,0.5,0.971980443572568,5,235.021,163.718
3000,0.00100000000000022,19,1,0.5,0.5,5,238.309,161.191
2303,0.0637612129404173,13,7,0.5,0.554601125133288,5,254.727,179.149
1746,0.00100000000000022,11,1,1,0.856624024264309,4,253.501,168.435
3000,0.072984429242404,3,15,0.940160824650591,0.952330535977289,5,257.541,177.267
300,0.184243512882063,3,13,1,0.686248434669224,1,260.657,184.76
445,0.151089238569543,17,8,0.689857247583099,0.5,2,236.049,169.399
3000,0.3,3,12,0.644950035372735,1,5,260.49,184.949
2778,0.067,6,1,0.556,0.667,5,232.148,160.418
