"Feature","Gain","Cover","Frequency","Importance","Cluster"
"PC2",0.120523051892729,0.0807115101929191,0.0920185501586527,0.120523051892729,"3"
"PC18",0.118758735642484,0.0737946830452272,0.052721503539175,0.118758735642484,"3"
"PC32",0.0785471259552849,0.0509702929680823,0.029045643153527,0.0785471259552849,"2"
"PC7",0.0688807305730373,0.0339346149025149,0.0405174517939956,0.0688807305730373,"2"
"PC20",0.0562205228348237,0.0330571920188703,0.0246521845252624,0.0562205228348237,"2"
"PC1",0.0560330470740756,0.0736693369189922,0.13058335367342,0.0560330470740756,"2"
"PC15",0.0492581697649394,0.0279293959456226,0.027825237979009,0.0492581697649394,"2"
"PC30",0.0465209842310917,0.0717093793087731,0.0417378569685135,0.0465209842310917,"2"
"PC3",0.0434757886041324,0.0344701847146097,0.0524774225042714,0.0434757886041324,"2"
"PC6",0.043064168050638,0.0365554884510637,0.0288015621186234,0.043064168050638,"2"
"PC16",0.0392089010891406,0.0276787036931527,0.024896265560166,0.0392089010891406,"2"
"PC19",0.0312343019210722,0.029160067003202,0.024896265560166,0.0312343019210722,"1"
"PC8",0.0307867691749456,0.04498786421596,0.0410056138638028,0.0307867691749456,"1"
"PC14",0.0240573228679518,0.0210467541050856,0.020746887966805,0.0240573228679518,"1"
"PC27",0.0238345624279582,0.022505327210365,0.0187942396875763,0.0238345624279582,"1"
"PC23",0.0225470484218999,0.015713846188908,0.0158652672687332,0.0225470484218999,"1"
"PC4",0.0218416102646402,0.0330685871212553,0.0461313155967781,0.0218416102646402,"1"
"PC29",0.0191777417133555,0.0170584682703374,0.015377105198926,0.0191777417133555,"1"
"PC31",0.0139469307545191,0.0353134222910993,0.0241640224554552,0.0139469307545191,"1"
"PC12",0.0132395463031677,0.0211493100265506,0.0251403465950696,0.0132395463031677,"1"
"PC5",0.0131872780467582,0.0333306744761102,0.0388088845496705,0.0131872780467582,"1"
"PC10",0.0102317903879847,0.0214569777909455,0.0202587258969978,0.0102317903879847,"1"
"PC13",0.00933762022227989,0.0146541016671035,0.0146448620942153,0.00933762022227989,"1"
"PC17",0.00800333336498521,0.0216734847362604,0.0229436172809373,0.00800333336498521,"1"
"PC22",0.00739922360994989,0.0326697585377805,0.0256285086648767,0.00739922360994989,"1"
"PC11",0.00685382293190682,0.0167166151987876,0.0185501586526727,0.00685382293190682,"1"
"PC25",0.00514423405582693,0.00570894629488246,0.00707835001220405,0.00514423405582693,"1"
"PC9",0.00477184522172492,0.0160898845676128,0.0219672931413229,0.00477184522172492,"1"
"PC26",0.00446695601652812,0.0102783823512654,0.0107395655357579,0.00446695601652812,"1"
"PC28",0.0044628618462963,0.0162608111033878,0.0136685379546009,0.0044628618462963,"1"
"PC24",0.00329661210244342,0.0132980844832891,0.0136685379546009,0.00329661210244342,"1"
"PC21",0.00168736263142928,0.013377850199984,0.0146448620942153,0.00168736263142928,"1"
