rowid,prof7_id,sand,clay,silt,DEPTH,ndvi_mean_years,ndvi_years_range,ndvi_mean_summer,ndvi_summer_range,mean_slope,sd_slope,median_slope,q5_slope,q95_slope,mean_aspect,sd_aspect,median_aspect,q5_aspect,q95_aspect,mean_twi,sd_twi,median_twi,q5_twi,q95_twi,dem1k,tm_1,tm_2,tm_3,tm_4,tm_5,tm_6,tm_7,tm_8,tm_9,tm_10,tm_11,tm_12,rr_mean,rr_range,soil_unit,landcover,lithology
1,5001,44.825,24.4,30.775,10,0.669502497,0.111928821,0.788389325,0.155115366,0.268522352,0.149109527,0.252943099,0.05396723,0.532853246,2.134512663,1.792090416,1.826097608,1.23235178,6.111690998,4.990684509,0.661558032,4.853266239,4.09824419,6.209798336,657.5797119,-3.237069368,-0.54788661,3.881137371,8.321554184,12.94182587,16.44449234,18.27703667,17.85533142,14.01536751,9.064543724,2.98118639,-2.401804209,1197.481323,855.0999756,4,126,6
2,5002,52.15,24.475,23.375,10,0.608454943,0.131546199,0.735582352,0.155107677,0.137195483,0.139448389,0.088999435,0.014526613,0.454932839,3.506852627,1.912737012,4.047032356,0.281424046,5.99289608,5.961891651,0.749236405,5.894860268,4.745937347,7.19946146,526.2047119,-2.844805956,-0.076863989,4.461153507,9.034972191,13.6683979,17.18920898,18.99040413,18.54918098,14.63384247,9.561591148,3.452909708,-1.98578465,1164.498291,840.2000122,4,126,2
3,5003,32.1,30.2,37.7,10,0.622684598,0.136426926,0.713122904,0.258569241,0.486639738,0.126514703,0.498560727,0.274972767,0.679356158,3.285117865,0.644092858,3.312142372,2.099979401,4.233816147,4.229920864,0.592825055,4.062437057,3.568300962,5.560858727,1534.660034,-3.439611912,-3.000147104,-0.277829409,3.401186466,8.080918312,11.64915276,13.67763805,13.46807003,9.986469269,6.014461517,1.026949167,-2.420421124,1268.545776,808.0999756,4,93,25
4,5004,51.1,20.7,28.2,10,0.498004079,0.115836561,0.631830692,0.266038477,0.066412866,0.072589032,0.042776655,0.004591178,0.248778209,3.376700401,1.509563208,3.354072571,0.685569763,5.64598608,7.182443142,0.868842483,7.169578552,5.684144974,8.613650322,450.2125244,-2.585101128,0.205000222,4.799918175,9.471074104,14.11664867,17.65355873,19.4327774,18.98797226,15.02395535,9.858201027,3.752316475,-1.70303452,893.0271606,596.3000488,4,122,2
5,5005,50.8,17.8,31.4,10,0.468861729,0.164715379,0.612443566,0.365923077,0.027941409,0.043438215,0.010990255,0.002579645,0.118351668,2.462700367,1.301566482,2.484872818,0.491099834,4.937851906,8.520606995,0.89790833,8.491895676,7.122569561,9.906294823,448.3337708,-2.533624887,0.253671616,4.855549335,9.544011116,14.19127941,17.7327404,19.50861168,19.06457138,15.09299469,9.908501625,3.803050995,-1.648933887,906.0949097,599.5999756,4,122,2
6,5006,54.8,19.6,25.6,10,0.467203468,0.199192315,0.542003274,0.257415384,0.017499596,0.032135513,0.008305841,0.002206688,0.066733763,2.80288744,1.30467701,2.825273752,0.200295568,5.130822182,9.470019341,0.78859973,9.679004669,7.812337399,10.31799126,446.5821533,-2.535811901,0.238617763,4.837862492,9.533192635,14.1791687,17.72288132,19.50021935,19.05511284,15.08562183,9.8957901,3.791158199,-1.656752348,907.8186646,594.000061,5,126,1
7,5007,49.9,21.3,28.8,10,0.700412691,0.133342326,0.776021361,0.129453838,0.101120867,0.103732303,0.065910324,0.006019883,0.339479297,3.292087078,1.590530992,3.311316967,0.153423131,6.022654057,6.496648788,1.365626693,6.321270466,4.593506813,9.621390343,470.1651917,-2.662165165,0.111197501,4.694833279,9.360791206,14.00224209,17.54166603,19.32520485,18.88132858,14.92796612,9.767769814,3.65875721,-1.791580081,908.9762573,585.4000244,5,11,1
8,5008,44.925,25.25,29.825,10,0.674285829,0.097724974,0.783241808,0.125995576,0.201964706,0.124837555,0.179709047,0.038100064,0.431090623,3.676216602,1.213039875,3.667945385,1.255670667,5.674031258,4.91849041,0.550563931,4.873291969,4.103336811,5.843636513,608.8726807,-3.076325893,-0.349964529,4.133488178,8.642175674,13.26850796,16.78081894,18.60199547,18.16801643,14.29288197,9.288081169,3.174378633,-2.240814686,958.5390015,656.3999634,5,126,18
9,5009,50.075,21.525,28.4,10,0.708676338,0.142360747,0.806272268,0.122723103,0.260873914,0.131440416,0.261649966,0.050162476,0.480306178,4.199795723,1.455455065,4.469696999,0.62194103,5.883152962,4.524867058,0.620141268,4.311663628,3.805796146,5.68200779,602.1914673,-3.118890047,-0.398805022,4.081766129,8.598474503,13.22487736,16.73935127,18.55907631,18.12580681,14.25240135,9.242181778,3.131158113,-2.2845819,952.4118652,657.9000244,3,93,18
10,5010,30.3,30.025,39.675,10,0.609974504,0.104590356,0.731347561,0.140722513,0.182770237,0.14125888,0.159486473,2.43E-04,0.447607905,3.488805532,2.012032509,3.950767994,0.19120121,6.112619877,5.467781067,0.909471631,5.412093163,4.137000084,7.018631935,478.0958862,-2.699890614,0.097486854,4.674193859,9.303559303,13.94568062,17.47686386,19.2617836,18.81905365,14.8708477,9.746965408,3.635282516,-1.820557714,956.5762939,657.2999878,4,122,18
