rowid,prof7_id,humus,DEPTH,ndvi_mean_years,ndvi_years_range,ndvi_mean_summer,ndvi_summer_range,mean_slope,sd_slope,median_slope,q5_slope,q95_slope,mean_aspect,sd_aspect,median_aspect,q5_aspect,q95_aspect,mean_twi,sd_twi,median_twi,q5_twi,q95_twi,dem1k,tm_1,tm_2,tm_3,tm_4,tm_5,tm_6,tm_7,tm_8,tm_9,tm_10,tm_11,tm_12,rr_mean,rr_range,soil_unit,landcover,lithology
1,1000054,2.1,10,0.48141256,0.133530796,0.581411123,0.19276154,0.066867284,0.037344817,0.064973697,0.008586843,0.131976783,3.193728209,1.304761291,3.413072109,1.23235178,5.16062212,7.348053455,0.708817422,7.302296638,6.165039539,8.779616356,393.3434753,-0.992072165,1.210290551,5.332176208,10.11056519,14.5551672,17.93737411,19.73696136,19.36913681,15.35649776,10.29461479,4.657514095,0.141388744,722.7644043,571.3000488,3,122,6
2,1000055,1.3,10,0.59784627,0.102998078,0.712022901,0.220273674,0.17912662,0.128472596,0.178169638,0.009467063,0.394723028,2.343404055,1.553297639,2.101980209,0.281424046,5.593707561,5.55572319,1.185661197,5.433898926,3.976993561,7.287445068,297.0592346,-0.978950262,1.394840121,5.611700535,10.33067799,14.82796669,18.30675125,20.0102253,19.5939045,15.56675148,10.55210495,5.001017094,0.139393106,791.0339355,519.7000122,NA,126,6
3,1000056,2.2,10,0.484993398,0.134687126,0.619340539,0.297815382,0.011606716,0.010440932,0.00794775,0.002407948,0.03384259,3.824245214,0.989792883,3.94031024,2.099979401,5.196853638,7.970166683,0.981321812,7.645938873,6.843169689,9.851327896,263.2364197,-1.035948634,1.309041262,5.536386013,10.32553673,14.83425426,18.27596092,19.97386551,19.57485008,15.53206253,10.45877552,4.891949177,0.120338991,726.2203369,452.1999512,4,122,2
4,1000057,1.9,10,0.561016381,0.135114908,0.661878049,0.263111532,0.111817896,0.094838589,0.083311729,0.018026371,0.303262621,2.206344604,1.275534034,1.71966815,0.685569763,3.957787037,6.76571846,0.671023667,6.710220337,5.805913925,7.905179024,381.9986267,-0.898961186,1.347902298,5.47941494,10.258955,14.7050581,18.08268356,19.88171196,19.50355339,15.49389839,10.41831589,4.771977425,0.230317116,734.7779541,569.5,3,122,6
5,1000058,2.7,10,0.542601824,0.206613451,0.630533159,0.275230795,0.088612571,0.057320647,0.068073347,0.03091771,0.211236209,2.534371376,1.568980217,2.023615837,0.491099834,5.200451851,5.897655487,0.527640402,6.006185532,4.90798521,6.607608318,431.2739868,-1.077802062,1.118063807,5.223182201,9.981243134,14.41935539,17.79457664,19.59866142,19.22949791,15.23680782,10.20087528,4.553983212,0.044805907,730.2661133,580.4000244,3,122,6
6,1000059,1.6,10,0.720582366,0.104735136,0.78658241,0.145649433,0.139241844,0.083442435,0.12663728,0.035588931,0.292873949,2.636871099,1.863336444,2.679820061,0.200295568,5.72547245,5.346117973,0.603929639,5.321430206,4.558764935,6.415137768,416.5090942,-1.055549502,1.123547196,5.232859612,10.00940704,14.44751263,17.83384132,19.63802719,19.27471352,15.26194954,10.2153635,4.582994461,0.079715692,729.7695313,570.5,NA,122,6
7,1000060,1.3,10,0.458543628,0.139276922,0.583684683,0.3037,0.026068857,0.029396037,0.013652515,0.002210664,0.094657183,2.974683285,2.046201944,2.573850632,0.153423131,6.120855808,8.897743225,0.834668159,9.031425476,7.140594959,10.04368019,240.4602203,-0.776462555,1.588282824,5.813996792,10.55257034,15.05817413,18.52929497,20.23411751,19.82864952,15.77774048,10.72834873,5.192937851,0.358693272,755.711853,500.5,3,122,2
8,1000061,0.9,10,0.627315283,0.128659606,0.742784858,0.170315385,0.207820013,0.077759951,0.212711155,0.054021169,0.330574632,3.467167854,1.472596526,3.944190741,1.255670667,5.304075718,4.794864178,0.682935357,4.532725334,4.057537079,6.178536415,304.7242737,-1.170284271,1.188031197,5.390896797,10.10240173,14.59546185,18.05943489,19.7622757,19.35451126,15.34050846,10.33214855,4.774915218,-0.051011495,756.9152832,487.5,3,122,6
9,1000062,1.1,10,0.485412061,0.100978971,0.61847347,0.274086803,0.014133635,0.018656801,0.008832623,0.002007428,0.043863818,3.118973017,1.374843001,3.227809668,0.62194103,5.513404846,9.031198502,1.059068084,8.895215988,7.65724802,10.63888264,241.3048248,-0.95757246,1.40923965,5.646173,10.43694973,14.95341778,18.40098953,20.09169006,19.68745232,15.640028,10.56470776,5.005141258,0.198305085,730.925415,473.8999634,6,122,2
10,1000063,2.5,10,0.677095771,0.079836547,0.796185911,0.125269234,0.155668154,0.071882285,0.144405931,0.061115872,0.28966704,3.036521435,1.906841159,2.949765682,0.19120121,6.115931511,4.983197212,0.561140895,4.876955986,4.240995407,6.052330494,311.104126,-1.195708036,1.13537097,5.336905479,10.0812149,14.57474041,18.01796722,19.72706413,19.32654572,15.30895519,10.27657223,4.704773903,-0.060497548,732.3932495,463.8000488,NA,122,6
