rowid,prof7_id,sand,clay,silt,DEPTH,x,y,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32
1,101,33,20,47,10,608000,385000,5.289303247,-2.684041083,-0.715351424,1.74842856,0.942023538,-0.446331341,-1.048611205,0.539887864,-0.01102366,0.349865033,-0.026659863,-0.284750377,0.175650918,-0.549279935,0.844124355,1.374868322,-0.257769442,-0.040792262,0.473529492,2.399497525,-0.170326147,3.657100709,0.200518921,0.779691974,-0.980372668,-0.410235406,-0.018375622,0.153320098,0.013766716,0.012657907,-1.359250225,0.375325284
2,102,60,9,31,10,610000,338000,3.515445032,1.076989413,2.603622738,-0.458655849,-0.94415034,0.431099522,0.1190919,-0.354371657,0.756164657,-0.253595866,-0.104929056,-0.129665677,0.086344594,1.075247384,-0.21647711,0.765396763,1.224109925,1.123549726,1.124489494,-0.377971654,-0.107395022,-0.277649801,0.414306893,-0.178342384,0.053284292,-0.01301832,-0.041840163,-0.076918431,-0.010448237,-0.305534481,-0.947170111,-0.393829373
3,103,15,23,62,10,610000,360000,5.694527629,-2.852380736,-0.561589266,1.908495025,0.306697418,-0.403773596,-1.09304112,0.121191285,-0.3300208,0.74182627,-0.301127176,-0.265437773,0.0643863,-1.008850318,2.229384675,0.34594712,1.170057215,-1.370638849,-2.093684097,0.563189234,-0.43943226,-0.260363711,-0.023003275,0.020600917,0.050266459,0.120377102,-0.128049524,0.070801191,0.054349768,-0.319955695,-0.546612504,-1.994890404
4,104,35,17,48,10,610000,376000,4.996782081,-1.967597874,-0.56460995,1.89540757,1.153529199,-0.486168335,-1.713366915,0.35009512,0.927920441,-0.450554736,0.233228983,-0.361883202,0.154717206,1.277795318,-0.167235569,1.445219612,-0.25925661,-0.28552803,0.284579203,2.316261061,-0.060265233,3.706427795,0.177744811,0.783044866,-1.102882966,-0.361507117,-0.014625588,0.195509205,0.01571578,0.214130236,-1.739135279,0.488058892
5,105,33,15,52,10,610000,382000,4.740513541,-1.71679345,-0.267843148,2.078603076,1.127731116,-0.96310513,-1.23348179,0.754438494,0.432506005,-0.165498498,0.390993223,-0.278615547,0.115271657,0.230673936,-0.737513745,1.215820195,-1.162497339,-0.19815461,-0.315178993,2.382698856,-0.098274468,3.776487645,0.025656712,0.737091125,-1.120682288,-0.436875721,0.011001276,0.211299304,0.007907145,0.396938656,-1.159824844,0.854863704
6,106,61,9,30,10,610000,387000,4.106165478,-0.120924522,-0.765371105,0.728549666,0.801623758,-0.246385527,-0.585667442,0.845896815,0.128348269,-0.008096531,0.330731945,-0.265639412,0.142737451,-0.148047365,-1.072543255,1.146617702,0.254728064,1.204476131,-0.180625781,-0.404487843,0.343247507,-0.017732285,0.334605419,-0.120037481,-0.100200216,0.002984242,-0.052381195,0.042246457,-0.018445157,0.881268323,-1.069722224,-1.823999269
7,107,12,23,65,10,613000,341000,6.404798984,-3.405458307,-0.342694897,1.378652803,1.113095824,-0.752693472,0.009151853,0.867457071,-0.136132374,0.286902292,0.4120901,-0.218402095,0.136398961,-0.79418622,-1.022064574,0.564147428,-0.558166157,0.321457609,0.874058493,2.432753887,-0.320213912,3.635441578,0.200498396,0.842928271,-0.880364932,-0.45280519,-0.018893817,0.139100766,0.02183823,-0.389659575,-1.136890652,0.198827069
8,108,13,29,58,10,613000,346000,4.136578362,-0.417398495,-0.413065347,1.886628332,1.164006369,-0.34071162,-1.186838208,0.774378894,-0.241805471,0.371131906,0.051758453,-0.270190306,0.188869268,-1.041914309,0.656273016,2.088673201,0.018057055,0.42084128,-0.504648417,2.149954698,0.182724409,3.831605103,0.196162073,0.752178886,-1.188657793,-0.414822895,-0.004851808,0.217981345,5.58E-04,0.937677109,-1.770177833,0.850618283
9,109,33,18,49,10,613000,352000,6.276065178,-3.369465503,-0.398632538,1.30793719,0.574427735,-0.227545157,-0.250604431,0.434881938,-0.167517401,0.298432839,0.130206313,-0.258487991,0.100041081,-0.582348921,0.27913211,-0.008469813,1.287499768,-1.32011576,1.599602126,-0.407979402,3.202187693,0.824770379,-3.252554799,-1.191752639,0.540849986,-0.028996276,-0.167357325,0.050395257,0.012941567,1.091519543,0.35764735,-1.76411414
10,110,22,26,52,10,613000,357000,3.994526202,0.033774587,-0.788594715,0.661081394,0.893857772,-0.078075548,-0.429931904,0.927730075,-0.126310563,0.159928422,0.252076302,-0.230763377,0.158454182,-0.639931575,-0.929861488,1.330862069,0.38186804,1.838177434,-0.341420683,-0.489858692,0.42879406,0.014470894,0.356213355,-0.133097107,-0.084497215,-0.007752996,-0.052152887,0.03810038,-0.022639365,1.143724582,-1.020059707,-1.79731041
