"nrounds","eta","max_depth","min_child_weight","subsample","colsample_bytree","gamma","cv_or_validation_RMSE","cv_or_validation_MAE"
347,0.001,6,6,0.667,0.667,0,19.324,16.832
977,0.034,15,10,0.944,0.5,2,11.067,9.009
990,0.167,12,6,0.722,0.611,0,10.427,8.514
1144,0.001,9,3,0.5,0.611,0,12.726,10.541
1707,0.234,18,8,0.556,0.944,3,11.502,9.358
1977,0.267,8,15,0.667,0.889,0,12.088,10.15
2031,0.2,14,6,0.889,0.722,1,10.311,8.533
2050,0.2,3,5,0.778,0.944,4,10.669,8.677
2201,0.001,10,14,1,0.889,2,10.173,8.432
2778,0.067,6,1,0.556,0.667,5,10.078,8.244
3000,0.3,16,15,1,1,1,11.619,9.598
902,0.3,8,1,1,0.929749266490245,3,11.187,9.337
2522,0.192803671162418,4,7,0.5,0.641526736138947,1,11.283,9.171
3000,0.0664920081009775,5,2,1,0.848019016431677,1,10.506,8.695
1128,0.3,20,15,0.619809129724964,0.664722099798989,2,12.262,10.185
1469,0.113290952297086,7,14,1,0.570806252939006,5,11.096,9.157
3000,0.00100000000000022,20,1,0.994315778744532,0.5,0,10.179,8.397
3000,0.00100000000000022,7,10,0.5,0.986267182399808,3,9.99,8.238
793,0.00100000000000022,9,9,0.5,0.519495594709143,1,14.63,12.031
300,0.290353471276886,20,1,0.614627327449983,0.538255613679688,0,10.598,8.709
3000,0.0702458084362538,15,15,0.552058852019221,0.58664761194609,0,12.248,10.379
3000,0.00100000000000022,20,12,0.928291847736624,0.941481009802008,2,10.129,8.331
2265,0.00100000000000022,3,11,0.823412335110224,0.527286031784043,5,10.205,8.511
300,0.00100000000000022,20,15,0.742060803204305,0.631990669671419,5,19.867,17.473
1348,0.199952094541303,20,3,0.684229203892324,0.673333165892729,2,10.73,8.803
2393,0.0636297148859851,14,14,0.742687901684737,0.572785433305104,5,11.443,9.463
300,0.296523497979711,7,5,0.787221573039469,0.640848223369625,2,10.724,8.891
300,0.205804331432644,9,15,0.757377047276882,1,5,11.643,9.763
837,0.099309438357204,6,1,0.932541744320063,1,2,10.772,8.88
2580,0.00100000000000022,10,1,0.917506726444435,1,4,10.743,8.896
1530,0.0264258591006023,5,15,0.623647274775983,0.855675047666607,5,11.593,9.716
2186,0.133607813651357,13,1,0.61130322700668,0.515284146981398,0,10.471,8.457
709,0.235474468835284,18,1,0.540084603089883,0.827820364947068,5,10.432,8.671
1028,0.0945765680871882,14,15,0.711855325218947,0.956081646456386,0,11.783,9.839
2544,0.3,20,1,1,0.5,0,10.533,8.74
300,0.221935315521889,20,1,1,0.5,5,10.476,8.654
3000,0.218289874705091,20,1,1,0.5,4,10.426,8.592
2475,0.186257773473374,20,1,1,0.5,2,10.152,8.291
3000,0.3,20,1,0.5,0.5,1,11.091,9.012
1650,0.00100000000000022,20,7,1,0.994295942417142,5,10.868,9.042
1844,0.3,19,1,1,0.5,0,10.455,8.629
2696,0.00100000000000022,8,7,0.5,0.5,0,10.174,8.41
3000,0.00100000000000022,4,1,0.5,0.5,5,9.765,8.08
843,0.195706120673334,5,1,1,0.5,0,10.107,8.415
1358,0.0938601257031971,20,1,1,0.5,1,10.087,8.277
1498,0.00100000000000022,9,15,1,0.5,0,11.161,9.357
3000,0.1361903691866,20,1,0.5,0.609640220441181,5,10.21,8.444
1020,0.14437158000904,7,6,1,0.591921262688088,5,10.123,8.415
1844,0.144834591152255,20,1,1,0.5,5,10.136,8.388
2055,0.236063386216201,18,1,1,0.5,1,10.487,8.588
3000,0.00100000000000022,4,1,0.5,0.5,5,9.776,8.017
