"","sand","clay","silt","DEPTH","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"1",33,20,47,10,4.581156282,1.474366372,0.764087435,-1.036819776,-1.002769762,0.128934791,-0.238441313,0.414934509,-0.514739945,0.137662464,-0.298550906,0.248347201
"3",15,23,62,10,5.142219849,2.110330716,0.925753803,-2.429323539,-1.817061401,0.64627307,0.334728386,1.009961535,-0.418464945,-0.327616621,0.350163765,0.266464041
"4",35,17,48,10,4.28305778,0.580789823,2.078727821,1.138962552,-0.971843807,0.122432895,0.055502673,0.719329217,-0.407475156,-0.000472,-0.730658359,-0.107219012
"6",61,9,30,10,3.896458012,-0.977761438,0.138860648,0.433726914,0.97753092,-0.333565286,-0.339432765,-0.376151731,-0.90886307,-0.167853224,-0.552305741,0.385417459
"7",12,23,65,10,5.779836957,2.333860752,-1.287396276,0.424099643,-1.015364462,-0.642799787,-0.277667006,0.815646736,-0.400914962,-0.080176825,0.38949828,-0.143064333
"8",13,29,58,10,3.398526832,-1.34700974,0.768811903,-1.480705405,0.066937442,0.056863562,-0.436143672,0.442339431,-0.512533523,-0.418497139,-0.852592842,0.524981516
"9",33,18,49,10,5.733500004,2.668720176,-0.161579758,-0.520298437,-1.097522304,0.656075265,0.041029193,0.6706639,-0.991116945,-0.103681296,0.653192067,-0.756547009
"10",22,26,52,10,3.782593341,-1.183152649,-0.183668555,-0.091318072,1.411158206,-0.266858667,-1.005855815,-0.411381275,-1.320379368,-0.229323879,-0.490975804,0.494928874
"11",24,28,48,10,4.769579098,-0.145549597,0.10176526,0.975211185,0.808783856,1.110139452,-0.531967041,-0.446142456,-0.606649108,-0.583423031,0.494646533,0.260619978
"12",16,32,52,10,3.744958312,-0.516107716,0.281086216,0.516770309,-0.005625556,0.148233454,-0.796117656,0.894279404,-0.874354846,-0.149003576,-0.646154054,0.695468061
"13",24,12,64,10,5.413836449,2.014192582,1.058765276,1.306277092,-1.471723975,-0.960201434,0.401545385,0.487008254,0.295973515,-0.419420448,-0.422533287,-0.000589
"14",50,10,40,10,4.217829422,0.418394933,0.870582435,1.135824706,-0.315693859,0.46277038,0.00987975,0.858911515,-0.700246657,0.033633697,-0.218865567,-0.051749534
"15",19,32,49,10,4.707516114,0.806640263,2.372039655,-1.037105513,-0.813898092,1.608781989,-0.449970166,-0.621709219,-0.585693924,-0.202654912,-0.166659383,0.25363847
"16",30,17,53,10,6.080717679,3.760433503,0.414053939,-0.153443544,-1.36346623,0.057905538,-1.108446736,-0.067790718,-1.765471051,0.172427356,0.856309314,-0.848522485
"18",17,20,63,10,5.710202185,2.315084801,1.042055,-0.43848183,-1.645153131,-0.456514286,0.288857321,0.662092124,0.222648613,-0.589146964,-0.473629879,-0.440994232
"20",25,16,59,10,5.687906298,3.280484288,1.067406077,0.362478694,-1.092412282,1.985135468,-1.866433622,-1.814113648,1.56503222,-0.053457041,0.578473129,-0.83780077
"21",53,11,36,10,4.754918115,0.937616383,1.046725788,-0.244612118,-0.265097304,0.314966544,0.052675606,0.135685609,-0.592626127,-0.044442066,-0.417028209,-0.194653856
"22",47,8,45,10,2.830661656,-0.744837634,1.775674021,0.676655714,-0.013045346,2.008184055,-1.930477121,-1.543973421,1.861235685,-0.674121436,-0.604051235,0.500825858
"24",35,23,42,10,3.900612451,-0.427134525,0.028432583,-1.888635492,-0.047197914,0.554610671,-0.185138628,0.679314644,-0.568688354,-0.285995962,-0.11160223,0.845414187
"25",22,26,52,10,3.656308704,-0.625356596,0.178516567,-0.057804229,0.67007862,0.549142532,-1.382816169,0.012695054,-0.30951947,-0.08804687,-0.687078102,0.358377322
"26",34,25,41,10,4.244319684,-0.871889911,0.994076999,0.928060257,0.574922233,-0.564855483,-0.254488694,-0.500615759,0.756852117,-0.485626813,-0.525731561,0.515230345
"27",8,24,68,10,5.322520633,2.637079183,0.415561181,0.928473764,-0.791176472,2.614850097,-1.295656633,-0.770914501,2.081142707,-0.131466836,0.40168302,-0.564562577
"29",41.5,14,44.5,10,3.684486378,-0.601975366,0.016887106,-1.459831701,0.416879332,-0.586635545,-0.570332082,-0.2530421,-0.575224739,-0.253324731,-0.9926279,0.45812743
"30",39,11,50,10,3.176921669,-1.510134887,0.370722239,-0.625671974,0.027764415,1.670558281,-0.0372354,0.015271953,0.111069481,-0.837996238,-0.34918252,0.139398721
"31",18,35,47,10,3.818347412,-0.870825405,1.076247149,-0.979424698,1.163205904,1.191199375,-0.881391122,-1.176351132,-0.858964387,-0.205686134,-0.081707117,0.165807804
"32",34,14,52,10,3.975069996,-1.074815813,1.11471943,-0.462673482,1.193333527,0.62334152,-0.997234107,-1.077398706,-0.597867949,-0.261307527,-0.548190066,0.201201416
"33",23,23,54,10,4.887876123,0.599423097,0.88101087,-0.387497175,-0.096762552,0.717564479,-0.081191844,-0.251786423,-1.167276697,-0.420217314,0.077743367,0.190817963
"35",37,8,55,10,2.362661509,-1.60401673,0.754226391,-2.176875461,0.591783907,0.001931793,-0.441311503,0.543215452,-0.60187081,0.661506316,-0.00296525,0.571646466
"36",22,18,60,10,1.544617551,-1.985531639,0.061902893,-2.34538537,1.44194282,-0.240665375,-0.592571099,0.016979447,0.806650015,0.990714667,-0.193212975,-0.668722069
"37",51,12,37,10,4.243633616,1.249643696,-2.507788056,0.338535214,0.676382862,3.66169296,-1.829886257,0.7827702,1.035217025,0.350210103,0.07396013,-0.424499007
"38",25,34,41,10,3.295798332,-0.780126077,-0.02866931,0.13578363,0.027274037,0.717079643,-2.0290559,-0.463086166,2.78302881,-0.208815807,-1.073272117,0.447612169
"39",32,27,41,10,4.692169069,0.421269662,0.682129701,1.576532091,-1.007229683,0.210868661,1.031173395,1.992361997,0.774893231,-0.818669288,-0.416782467,0.456736468
"40",26,18,56,10,3.579188744,0.075497382,2.641063131,-0.699455205,0.297198671,0.323717037,-0.383140361,0.751168165,-0.649465948,1.689314348,-0.028781223,0.291991278
"41",13,24,63,10,6.085844711,3.202965775,0.723274197,0.335494747,-0.829235329,0.752822369,-0.376278052,-0.038532661,-1.311601959,-0.179462678,0.622512397,-0.797013023
"42",20,30,50,10,5.203522561,1.20288752,0.715169536,1.668646885,-0.345971321,0.371327082,0.792442608,1.161985476,0.083366728,-0.247082934,0.155306872,0.064963519
"43",36,21,43,10,4.675719542,0.474969258,0.266195278,-0.931468311,1.423512422,-0.096297252,0.009884721,0.296282302,-0.451310671,1.754101603,0.499719666,-0.306669786
"44",45,11,44,10,4.453952935,0.664639512,0.007861414,0.890552715,0.25515828,2.472111114,-1.188268839,-0.944140951,2.213139835,0.00223015,0.342321122,0.321195088
"45",47,13,40,10,4.251476013,0.476001331,2.008240003,0.730499001,-0.454077139,0.679932252,-0.048961614,0.972747596,-0.520828699,-0.166606013,-1.004186052,-0.01740592
"46",33,23,44,10,5.655514236,1.773157216,-0.116691514,0.159441456,-0.080245716,-0.798364456,-0.985440096,0.02800119,-0.537469037,-0.060940843,-0.231793756,0.287975541
"47",5,38,57,10,4.537454278,-0.046340257,1.247170094,-1.1127178,0.413470571,1.030112371,-0.686931619,-0.787784546,-0.568437797,-0.072461737,-0.186596176,-0.38207911
"48",22,44,34,10,4.659171998,0.928900967,2.412471179,1.308034865,-0.492980759,0.846513814,0.110089688,0.296466813,0.398848226,-0.200271433,0.0107407,-0.066900297
"49",39,14,47,10,2.177330473,-1.952310285,0.19960383,1.109303702,2.255367904,-1.119603179,-1.329835353,-0.839573047,0.103906138,1.362793261,0.882048628,0.410952856
"50",26,9,65,10,4.217416449,-0.313213761,1.356481202,-1.216760504,0.500520177,2.553581633,0.570013238,-0.453831418,-0.432573301,-0.129249654,-0.031495954,-0.87475216
"51",68,8,24,10,4.788676265,1.886419422,1.892424604,0.792042867,-1.516956745,-1.377321374,-0.347394018,0.449426158,0.187138029,0.011810974,-1.250632039,-0.228079254
"52",42,26,32,10,3.544783859,0.051996443,1.114240929,-2.399911417,-0.230924541,0.659786908,-0.573695693,0.203393489,-0.944581204,-0.171071498,-0.538817828,0.905617128
"53",33,22,45,10,4.549548886,0.48428323,-0.183844979,1.100133904,-0.12048932,-0.291786751,-0.342373504,1.116796049,0.05197775,-0.271870605,-0.304090992,0.742853646
"54",52,11,37,10,5.625307671,1.320513004,-0.971484355,0.818708021,-0.082451727,-0.555798428,-0.312231426,0.991033007,-0.111996078,-0.059102562,0.266958366,0.401698387
"55",15,50,35,10,5.413708359,1.481604457,-0.058239793,2.072778459,0.771010725,1.296508653,-3.304198371,-1.898299494,1.130624224,-0.095303301,0.374113169,0.951732283
