"layers","units","max_epochs","early_stopping_patience","batch_size","dropout","ensemble_runs","val_RMSE_sand","val_RMSE_clay","val_RMSE_silt","val_RMSE_mean","val_MAE_sand","val_MAE_clay","val_MAE_silt","val_MAE_mean"
2,183,100,5,114,0.15,1,28.207,13.982,21.129,21.106,23.866,12.041,16.782,17.563
5,123,100,5,106,0.05,1,27.627,26.003,12.844,22.158,23.146,25.018,10.994,19.719
2,138,100,5,61,0.2,1,23.756,14.643,16.51,18.303,20.479,12.003,13.888,15.457
2,167,100,5,114,0,1,24.554,16.244,10.959,17.252,21.045,13.872,9.508,14.808
5,24,100,5,119,0.075,1,19.197,12.684,13.866,15.249,13.543,10.338,11.293,11.725
4,111,100,5,146,0.025,1,18.047,11.848,10.318,13.404,15.116,10.181,8.969,11.422
4,56,100,5,80,0.2,1,27.227,21.233,15.494,21.318,22.792,15.775,13.243,17.27
4,44,100,5,150,0.1,1,25.71,28.291,18.619,24.207,21.445,20.989,15.639,19.358
4,97,100,5,25,0.075,1,32.049,26.025,14.987,24.354,28.019,25.041,12.577,21.879
5,170,100,5,18,0.175,1,18.35,10.772,10.767,13.296,15.561,8.66,9.176,11.132
5,115,100,5,63,0.15,1,17.084,13.476,9.242,13.267,13.724,11.789,6.722,10.745
5,150,100,5,125,0.075,1,31.73,23.766,19.013,24.836,29.21,22.665,14.023,21.966
4,110,100,5,137,0.1,1,26.781,28.012,15.321,23.371,22.876,25.064,12.6,20.18
2,165,100,5,21,0.025,1,16.752,10.552,11.325,12.876,14.6,8.478,8.963,10.68
4,33,100,5,88,0.15,1,13.723,9.312,7.846,10.294,11.202,7.706,5.927,8.278
1,104,100,5,40,0.05,1,15.492,9.163,10.278,11.644,12.218,6.64,8.708,9.189
1,66,100,5,97,0.15,1,37.219,32.159,21.929,30.436,32.304,25.274,17.609,25.062
2,164,100,5,124,0.025,1,21.767,21.92,11.814,18.5,17.85,20.112,9.123,15.695
3,56,100,5,109,0.075,1,20.339,21.924,12.98,18.414,17.236,20.623,9.124,15.661
3,170,100,5,57,0.125,1,34.905,19.125,20.642,24.891,32.054,17.056,17.494,22.201
5,8,100,5,5,0.152646811793939,1,13.296,7.345,8.128,9.59,10.757,6.422,6.788,7.989
5,5,100,5,148,0.158605248120236,1,23.196,15.653,8.934,15.928,20.54,14.173,7.4,14.038
4,59,100,5,5,0.162949272705208,1,12.866,7.857,7.098,9.274,11.024,6.726,5.82,7.857
2,55,100,5,5,0.0328481709790427,1,16.211,8.646,9.093,11.317,13.025,7.366,7.644,9.345
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
2,124,100,5,121,0.0911217107903212,1,25.916,15.065,16.457,19.146,21.982,11.972,13.302,15.752
4,59,100,5,5,0.16,5,13.218,7.299,7.157,9.225,11.355,6.083,6.18,7.873
