"layers","units","max_epochs","early_stopping_patience","batch_size","dropout","ensemble_runs","val_RMSE_humus","val_RMSE_mean","val_MAE_humus","val_MAE_mean"
2,183,100,5,114,0.15,1,113.792,113.792,102.909,102.909
5,123,100,5,106,0.05,1,33.667,33.667,27.071,27.071
2,138,100,5,61,0.2,1,25.032,25.032,19.467,19.467
2,167,100,5,114,0,1,62.039,62.039,52.403,52.403
5,24,100,5,119,0.075,1,25.939,25.939,21.548,21.548
4,111,100,5,146,0.025,1,45.877,45.877,38.734,38.734
4,56,100,5,80,0.2,1,37.572,37.572,30.093,30.093
4,44,100,5,150,0.1,1,21.952,21.952,18.189,18.189
4,97,100,5,25,0.075,1,23.455,23.455,20.177,20.177
5,170,100,5,18,0.175,1,37.847,37.847,30.127,30.127
5,115,100,5,63,0.15,1,34.399,34.399,30.365,30.365
5,150,100,5,125,0.075,1,54.647,54.647,43.566,43.566
4,110,100,5,137,0.1,1,27.518,27.518,22.105,22.105
2,165,100,5,21,0.025,1,36.477,36.477,25.88,25.88
4,33,100,5,88,0.15,1,21.715,21.715,17.053,17.053
1,104,100,5,40,0.05,1,18.847,18.847,15.761,15.761
1,66,100,5,97,0.15,1,41.032,41.032,33.552,33.552
2,164,100,5,124,0.025,1,41.055,41.055,30.909,30.909
3,56,100,5,109,0.075,1,39.267,39.267,33.287,33.287
3,170,100,5,57,0.125,1,53.615,53.615,40.282,40.282
1,5,100,5,5,0.2,1,14.66,14.66,12.076,12.076
2,5,100,5,35,0.168191545966658,1,14.723,14.723,13.19,13.19
4,110,100,5,32,0.155308086518198,1,33.786,33.786,26.855,26.855
2,124,100,5,121,0.0911217107903212,1,23.947,23.947,19.823,19.823
3,160,100,5,5,0.2,1,29.813,29.813,26.528,26.528
4,15,100,5,5,0.2,1,8.873,8.873,6.165,6.165
1,13,100,5,5,2.22044604925031e-16,1,21.247,21.247,16.649,16.649
2,101,100,5,150,0.2,1,26.746,26.746,23.012,23.012
1,12,100,5,150,0.2,1,97.802,97.802,77.285,77.285
2,26,100,5,25,0.00509195289128276,1,44.559,44.559,39.01,39.01
2,133,100,5,150,0.2,1,73.17,73.17,57.385,57.385
2,92,100,5,121,0.2,1,27.951,27.951,23.077,23.077
4,87,100,5,55,0.00207187764134223,1,25.947,25.947,18.758,18.758
4,13,100,5,89,0.000280115220823367,1,89.025,89.025,74.076,74.076
5,32,100,5,5,0.126038420476879,1,11.111,11.111,10.096,10.096
1,5,100,5,5,0.0787455401460459,1,15.287,15.287,12.608,12.608
2,106,100,5,139,0.0329029721683125,1,40.47,40.47,34.277,34.277
5,112,100,5,5,2.22044604925031e-16,1,9.724,9.724,7.592,7.592
1,49,100,5,5,0.2,1,42.292,42.292,34.146,34.146
1,141,100,5,5,0.0928068070978486,1,17.741,17.741,13.676,13.676
5,5,100,5,5,0.13930404898079,1,5.587,5.587,5.017,5.017
1,83,100,5,5,2.22044604925031e-16,1,24.582,24.582,21.215,21.215
1,200,100,5,5,0.0850976390339058,1,12.778,12.778,9.497,9.497
5,5,100,5,59,0.109864264043363,1,19.661,19.661,17.293,17.293
5,200,100,5,5,0.0504162832251725,1,25.394,25.394,21.186,21.186
1,200,100,5,150,0.0357959089985471,1,44.072,44.072,39.745,39.745
5,75,100,5,150,0.164256093397495,1,51.434,51.434,45.597,45.597
1,5,100,5,150,0.0949102273448683,1,18.669,18.669,15.666,15.666
5,125,100,5,5,0.0468063377038326,1,18.948,18.948,15.242,15.242
1,18,100,5,5,0.146654472887239,1,19.241,19.241,16.228,16.228
5,5,100,5,5,0.0424945259713602,1,3.083,3.083,2.773,2.773
5,33,100,5,5,0.0630016528147982,1,10.46,10.46,8.949,8.949
1,200,100,5,5,0.2,1,45.938,45.938,40.475,40.475
5,5,100,5,40,0.2,1,24.207,24.207,23.55,23.55
1,200,100,5,54,0.0598467151716341,1,44.284,44.284,39.663,39.663
5,28,100,5,40,0.145235536528342,1,37.208,37.208,30.705,30.705
1,29,100,5,150,0.0338805368496908,1,32.572,32.572,26.8,26.8
1,5,100,5,93,0.134492619927575,1,37.351,37.351,30.032,30.032
5,120,100,5,39,2.22044604925031e-16,1,34.847,34.847,25.941,25.941
5,5,100,5,24,0.0874354486957876,1,8.174,8.174,7.155,7.155
5,5,100,5,5,0.04,5,1.178,1.178,0.958,0.958
2,183,100,5,114,0.15,1,113.792,113.792,102.909,102.909
5,123,100,5,106,0.05,1,33.667,33.667,27.071,27.071
2,138,100,5,61,0.2,1,25.032,25.032,19.467,19.467
2,167,100,5,114,0,1,62.039,62.039,52.403,52.403
5,24,100,5,119,0.075,1,25.939,25.939,21.548,21.548
4,111,100,5,146,0.025,1,45.877,45.877,38.734,38.734
4,56,100,5,80,0.2,1,37.572,37.572,30.093,30.093
4,44,100,5,150,0.1,1,21.952,21.952,18.189,18.189
4,97,100,5,25,0.075,1,23.455,23.455,20.177,20.177
5,170,100,5,18,0.175,1,37.847,37.847,30.127,30.127
5,115,100,5,63,0.15,1,34.399,34.399,30.365,30.365
5,150,100,5,125,0.075,1,54.647,54.647,43.566,43.566
4,110,100,5,137,0.1,1,27.518,27.518,22.105,22.105
2,165,100,5,21,0.025,1,36.477,36.477,25.88,25.88
4,33,100,5,88,0.15,1,21.715,21.715,17.053,17.053
1,104,100,5,40,0.05,1,18.847,18.847,15.761,15.761
1,66,100,5,97,0.15,1,41.032,41.032,33.552,33.552
2,164,100,5,124,0.025,1,41.055,41.055,30.909,30.909
