"Feature","Gain","Cover","Frequency","Importance","Cluster"
"PC1",0.135837523454375,0.122287261474987,0.10783200908059,0.135837523454375,"2"
"PC17",0.0796676762000248,0.0699948427024239,0.0608399545970488,0.0796676762000248,"2"
"PC18",0.0741435790171042,0.0714079422382671,0.0657207718501703,0.0741435790171042,"2"
"PC22",0.0563183107358363,0.0506756059824652,0.0446083995459705,0.0563183107358363,"1"
"PC29",0.0534809575938075,0.0479834966477566,0.0459704880817253,0.0534809575938075,"1"
"PC4",0.0467807668056218,0.0483470861268695,0.0503972758229285,0.0467807668056218,"1"
"PC16",0.0433541687451859,0.042055183084064,0.0465380249716232,0.0433541687451859,"1"
"PC8",0.0362096215267217,0.0389969056214544,0.0374574347332577,0.0362096215267217,"1"
"PC21",0.0352250908171878,0.0331923671995874,0.0311010215664018,0.0352250908171878,"1"
"PC30",0.0345961110961378,0.0345023207839092,0.0320090805902384,0.0345961110961378,"1"
"PC11",0.0284109612227509,0.0318024755028365,0.0325766174801362,0.0284109612227509,"1"
"PC10",0.0283406054971682,0.0289994842702424,0.0332576617480136,0.0283406054971682,"1"
"PC31",0.0280901920613864,0.0288086642599278,0.0338251986379115,0.0280901920613864,"1"
"PC2",0.0252120584247186,0.0258329035585353,0.0288308740068104,0.0252120584247186,"1"
"PC12",0.0245489751105918,0.0264414646725116,0.0266742338251986,0.0245489751105918,"1"
"PC32",0.0230194288867021,0.0255208870551831,0.023950056753689,0.0230194288867021,"1"
"PC5",0.0221339085799845,0.0261603919546158,0.0280363223609535,0.0221339085799845,"1"
"PC23",0.0206611355578561,0.0242444559051057,0.0240635641316686,0.0206611355578561,"1"
"PC19",0.0202242126420527,0.021689014956163,0.0224744608399546,0.0202242126420527,"1"
"PC3",0.0197835058665332,0.020956678700361,0.0224744608399546,0.0197835058665332,"1"
"PC14",0.0187545874995976,0.0210185662712739,0.0217934165720772,0.0187545874995976,"1"
"PC20",0.0183474089532174,0.0206111397627643,0.0222474460839955,0.0183474089532174,"1"
"PC6",0.0181941634098098,0.0181021144920062,0.0213393870601589,0.0181941634098098,"1"
"PC13",0.0166166327148553,0.0167122227952553,0.0202043132803632,0.0166166327148553,"1"
"PC7",0.0157795907595985,0.0177849406910779,0.0188422247446084,0.0157795907595985,"1"
"PC28",0.0149364861648374,0.0174007220216606,0.0190692395005675,0.0149364861648374,"1"
"PC26",0.0137141775453004,0.0148014440433213,0.0161180476730988,0.0137141775453004,"1"
"PC15",0.0115137946729473,0.0136255801959773,0.0156640181611805,0.0115137946729473,"1"
"PC27",0.00974896309232607,0.0113383187209902,0.010783200908059,0.00974896309232607,"1"
"PC25",0.00953223083191669,0.00941722537390407,0.0127128263337117,0.00953223083191669,"1"
"PC9",0.00873176788874967,0.0100309437854564,0.012372304199773,0.00873176788874967,"1"
"PC24",0.0080914066250967,0.0092573491490459,0.0102156640181612,0.0080914066250967,"1"
